product_id,sku,product_name,category,subcategory,description,price,currency,stock_status,warranty_months,return_window_days,is_active,created_at,updated_at
PROD-001,SKU-LAP-0001,ProEdge 95S,Laptops,Laptops,"Performance laptop for professionals, 16GB RAM",2193.82,USD,in_stock,24,15,true,2023-04-24T00:00:00Z,2024-06-06T00:00:00Z
PROD-002,SKU-LAP-0002,ProEdge 45S,Laptops,Laptops,"Performance laptop for professionals, 64GB RAM",2846.71,USD,discontinued,24,15,false,2024-09-02T00:00:00Z,2025-11-14T00:00:00Z
PROD-003,SKU-LAP-0003,ProEdge 38S,Laptops,Laptops,"Performance laptop for professionals, 4GB RAM",986.69,USD,out_of_stock,24,15,true,2022-10-21T00:00:00Z,2025-08-19T00:00:00Z
PROD-004,SKU-LAP-0004,AcmePro X12 Laptop,Laptops,Laptops,"14-inch business laptop, 8GB RAM, 1024GB SSD",2579.89,USD,in_stock,24,15,true,2024-08-14T00:00:00Z,2025-03-30T00:00:00Z
PROD-005,SKU-LAP-0005,AcmePro X32 Laptop,Laptops,Laptops,"14-inch business laptop, 32GB RAM, 256GB SSD",925.08,USD,in_stock,24,15,true,2022-07-03T00:00:00Z,2022-08-31T00:00:00Z
PROD-006,SKU-LAP-0006,AcmePro X99 Laptop,Laptops,Laptops,"14-inch business laptop, 16GB RAM, 1024GB SSD",1049.94,USD,in_stock,24,15,true,2023-06-12T00:00:00Z,2025-12-17T00:00:00Z
PROD-007,SKU-LAP-0007,ProEdge 69S,Laptops,Laptops,"Performance laptop for professionals, 4GB RAM",2312.54,USD,in_stock,24,15,true,2022-07-05T00:00:00Z,2024-05-16T00:00:00Z
PROD-008,SKU-LAP-0008,AcmePro X83 Laptop,Laptops,Laptops,"14-inch business laptop, 64GB RAM, 128GB SSD",1441.53,USD,in_stock,24,15,true,2024-02-21T00:00:00Z,2025-09-18T00:00:00Z
PROD-009,SKU-LAP-0009,SwiftBook 29 Ultra,Laptops,Laptops,Slim ultrabook with 256GB RAM and long battery life,788.22,USD,in_stock,24,15,true,2022-06-29T00:00:00Z,2024-05-25T00:00:00Z
PROD-010,SKU-LAP-0010,ProEdge 96S,Laptops,Laptops,"Performance laptop for professionals, 64GB RAM",1931.10,USD,out_of_stock,24,15,true,2022-09-18T00:00:00Z,2024-11-04T00:00:00Z
PROD-011,SKU-SMA-0011,AcmeDial X40,Smartphones,Smartphones,Flagship smartphone with triple camera system,1007.07,USD,out_of_stock,12,15,true,2023-01-24T00:00:00Z,2025-06-09T00:00:00Z
PROD-012,SKU-SMA-0012,ZenMobile 87,Smartphones,Smartphones,Mid-range smartphone with 256GB storage,922.70,USD,in_stock,12,15,true,2023-03-31T00:00:00Z,2023-04-09T00:00:00Z
PROD-013,SKU-SMA-0013,AcmeDial X41,Smartphones,Smartphones,Flagship smartphone with triple camera system,1278.38,USD,out_of_stock,12,15,true,2023-08-31T00:00:00Z,2025-01-23T00:00:00Z
PROD-014,SKU-SMA-0014,AcmeDial X77,Smartphones,Smartphones,Flagship smartphone with triple camera system,474.04,USD,in_stock,12,15,true,2022-03-12T00:00:00Z,2023-12-04T00:00:00Z
PROD-015,SKU-SMA-0015,AcmeDial X36,Smartphones,Smartphones,Flagship smartphone with triple camera system,987.77,USD,in_stock,12,15,true,2023-03-18T00:00:00Z,2025-03-08T00:00:00Z
PROD-016,SKU-SMA-0016,ZenMobile 20,Smartphones,Smartphones,Mid-range smartphone with 4GB storage,551.74,USD,in_stock,12,15,true,2023-04-06T00:00:00Z,2023-05-29T00:00:00Z
PROD-017,SKU-SMA-0017,NovPhone 94 Pro,Smartphones,Smartphones,"5G smartphone, 256MP camera, AMOLED display",657.92,USD,discontinued,12,15,false,2022-11-23T00:00:00Z,2025-12-19T00:00:00Z
PROD-018,SKU-SMA-0018,ZenMobile 87,Smartphones,Smartphones,Mid-range smartphone with 16GB storage,1487.38,USD,in_stock,12,15,true,2024-03-12T00:00:00Z,2025-09-03T00:00:00Z
PROD-019,SKU-SMA-0019,AcmeDial X90,Smartphones,Smartphones,Flagship smartphone with triple camera system,1140.33,USD,in_stock,12,15,true,2024-03-17T00:00:00Z,2025-02-11T00:00:00Z
PROD-020,SKU-SMA-0020,AcmeDial X91,Smartphones,Smartphones,Flagship smartphone with triple camera system,848.04,USD,in_stock,12,15,true,2022-12-02T00:00:00Z,2025-05-24T00:00:00Z
PROD-021,SKU-TAB-0021,LiteTab 19,Tablets,Tablets,Lightweight 8-inch tablet for everyday use,373.51,USD,in_stock,12,15,true,2023-02-05T00:00:00Z,2023-02-23T00:00:00Z
PROD-022,SKU-TAB-0022,AcmeSlate 87 Pro,Tablets,Tablets,Professional-grade tablet with stylus support,500.24,USD,in_stock,12,15,true,2024-05-24T00:00:00Z,2024-11-12T00:00:00Z
PROD-023,SKU-TAB-0023,TabMax 61,Tablets,Tablets,"10-inch tablet, 4GB RAM, ideal for productivity",955.05,USD,discontinued,12,15,false,2022-08-29T00:00:00Z,2024-07-22T00:00:00Z
PROD-024,SKU-TAB-0024,LiteTab 81,Tablets,Tablets,Lightweight 8-inch tablet for everyday use,522.20,USD,in_stock,12,15,true,2022-03-11T00:00:00Z,2024-05-31T00:00:00Z
PROD-025,SKU-TAB-0025,AcmeSlate 84 Pro,Tablets,Tablets,Professional-grade tablet with stylus support,499.30,USD,in_stock,12,15,true,2022-07-03T00:00:00Z,2024-08-23T00:00:00Z
PROD-026,SKU-TAB-0026,AcmeSlate 48 Pro,Tablets,Tablets,Professional-grade tablet with stylus support,295.00,USD,in_stock,12,15,true,2022-06-19T00:00:00Z,2025-04-27T00:00:00Z
PROD-027,SKU-TAB-0027,TabMax 36,Tablets,Tablets,"10-inch tablet, 4GB RAM, ideal for productivity",795.29,USD,in_stock,12,15,true,2023-01-06T00:00:00Z,2025-06-12T00:00:00Z
PROD-028,SKU-TAB-0028,AcmeSlate 13 Pro,Tablets,Tablets,Professional-grade tablet with stylus support,249.80,USD,in_stock,12,15,true,2023-01-14T00:00:00Z,2023-02-23T00:00:00Z
PROD-029,SKU-TAB-0029,AcmeSlate 9 Pro,Tablets,Tablets,Professional-grade tablet with stylus support,868.72,USD,in_stock,12,15,true,2022-09-12T00:00:00Z,2023-11-10T00:00:00Z
PROD-030,SKU-TAB-0030,LiteTab 77,Tablets,Tablets,Lightweight 8-inch tablet for everyday use,342.95,USD,out_of_stock,12,15,true,2024-07-04T00:00:00Z,2024-11-06T00:00:00Z
PROD-031,SKU-ELE-0031,AcmeSpark 84,Electronics,Electronics,General electronics device with advanced features,88.52,USD,out_of_stock,12,30,true,2023-06-10T00:00:00Z,2023-07-15T00:00:00Z
PROD-032,SKU-ELE-0032,AcmeSpark 47,Electronics,Electronics,General electronics device with advanced features,126.22,USD,in_stock,12,30,true,2022-01-01T00:00:00Z,2022-04-05T00:00:00Z
PROD-033,SKU-ELE-0033,DigiLink 85,Electronics,Electronics,Digital connectivity device,249.21,USD,in_stock,12,30,true,2024-10-01T00:00:00Z,2025-06-25T00:00:00Z
PROD-034,SKU-ELE-0034,TechCore 89 Pro,Electronics,Electronics,Smart device with connectivity features,347.18,USD,in_stock,12,30,true,2022-04-02T00:00:00Z,2023-04-22T00:00:00Z
PROD-035,SKU-ELE-0035,AcmeSpark 18,Electronics,Electronics,General electronics device with advanced features,297.43,USD,in_stock,12,30,true,2024-01-06T00:00:00Z,2025-10-04T00:00:00Z
PROD-036,SKU-ELE-0036,TechCore 34 Pro,Electronics,Electronics,Smart device with connectivity features,341.40,USD,in_stock,12,30,true,2022-12-01T00:00:00Z,2023-05-20T00:00:00Z
PROD-037,SKU-ELE-0037,TechCore 89 Pro,Electronics,Electronics,Smart device with connectivity features,290.16,USD,in_stock,12,30,true,2022-05-25T00:00:00Z,2023-11-27T00:00:00Z
PROD-038,SKU-ELE-0038,DigiLink 92,Electronics,Electronics,Digital connectivity device,302.64,USD,in_stock,12,30,true,2024-11-13T00:00:00Z,2025-06-15T00:00:00Z
PROD-039,SKU-ELE-0039,AcmeSpark 49,Electronics,Electronics,General electronics device with advanced features,482.81,USD,in_stock,12,30,true,2023-05-22T00:00:00Z,2023-09-26T00:00:00Z
PROD-040,SKU-ELE-0040,DigiLink 9,Electronics,Electronics,Digital connectivity device,337.08,USD,out_of_stock,12,30,true,2024-01-14T00:00:00Z,2024-10-19T00:00:00Z
PROD-041,SKU-ACC-0041,AcmeCase 36,Accessories,Accessories,Protective case compatible with multiple devices,22.71,USD,in_stock,6,30,true,2023-04-01T00:00:00Z,2023-07-17T00:00:00Z
PROD-042,SKU-ACC-0042,AcmeCase 76,Accessories,Accessories,Protective case compatible with multiple devices,22.38,USD,in_stock,6,30,true,2023-12-16T00:00:00Z,2024-09-29T00:00:00Z
PROD-043,SKU-ACC-0043,SlimHub 7,Accessories,Accessories,Portable USB hub with 16 ports,53.52,USD,in_stock,6,30,true,2024-03-08T00:00:00Z,2025-09-03T00:00:00Z
PROD-044,SKU-ACC-0044,SlimHub 62,Accessories,Accessories,Portable USB hub with 64 ports,26.86,USD,in_stock,6,30,true,2022-01-20T00:00:00Z,2022-12-04T00:00:00Z
PROD-045,SKU-ACC-0045,SlimHub 49,Accessories,Accessories,Portable USB hub with 8 ports,111.96,USD,out_of_stock,6,30,true,2022-04-19T00:00:00Z,2025-11-18T00:00:00Z
