order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,currency,payment_method,payment_status,order_status,shipping_method,tracking_number,expected_delivery_date,actual_delivery_date,created_at,updated_at
ORD-00001,CUS-0146,2024-08-17,PROD-001,1,2193.82,2193.82,USD,credit_card,paid,processing,standard,TRACK-FXI5N53E,2024-08-23,,2024-08-17T00:00:00Z,2024-12-09T00:00:00Z
ORD-00002,CUS-0105,2024-12-31,PROD-037,1,290.16,290.16,USD,paypal,paid,delivered,standard,TRACK-M7DBFPMG,2025-01-08,2025-01-09,2024-12-31T00:00:00Z,2025-12-17T00:00:00Z
ORD-00003,CUS-0309,2024-10-20,PROD-080,3,255.93,767.79,USD,credit_card,failed,cancelled,express,TRACK-X73ZCA7F,2024-10-24,,2024-10-20T00:00:00Z,2025-04-01T00:00:00Z
ORD-00004,CUS-0152,2025-04-02,PROD-050,4,81.10,324.40,USD,paypal,refunded,cancelled,express,TRACK-P0FLE1MR,2025-04-05,,2025-04-02T00:00:00Z,2025-10-30T00:00:00Z
ORD-00005,CUS-0617,2024-12-07,PROD-082,2,235.36,470.72,USD,paypal,paid,cancelled,standard,TRACK-NTTRTIDZ,2024-12-16,,2024-12-07T00:00:00Z,2025-11-27T00:00:00Z
ORD-00006,CUS-0831,2024-08-12,PROD-096,1,93.24,93.24,USD,credit_card,paid,processing,standard,TRACK-H4NRED6M,2024-08-18,,2024-08-12T00:00:00Z,2025-04-04T00:00:00Z
ORD-00007,CUS-0148,2025-03-07,PROD-071,2,489.66,979.32,USD,credit_card,paid,processing,standard,TRACK-CE8ZNA8N,2025-03-17,,2025-03-07T00:00:00Z,2025-12-29T00:00:00Z
ORD-00008,CUS-0076,2025-08-31,PROD-062,2,282.17,564.34,USD,credit_card,paid,placed,standard,TRACK-CCU3FG00,2025-09-10,,2025-08-31T00:00:00Z,2025-10-30T00:00:00Z
ORD-00009,CUS-0422,2024-12-11,PROD-093,4,61.11,244.44,USD,debit_card,paid,delayed,next_day,TRACK-AECXVGFO,2024-12-12,,2024-12-11T00:00:00Z,2025-11-24T00:00:00Z
ORD-00010,CUS-0971,2025-07-21,PROD-059,3,284.59,853.77,USD,credit_card,partially_refunded,returned,next_day,TRACK-I7JDN80O,2025-07-22,2025-07-22,2025-07-21T00:00:00Z,2025-10-29T00:00:00Z
