ticket_id,customer_id,order_id,product_id,created_at,channel,subject,message,category,subcategory,intent,priority,sentiment,assigned_team,status,resolution,resolution_code,resolution_time_minutes,escalated,escalation_reason,customer_satisfaction,first_response_time_minutes
TKT-0001,CUS-0580,,PROD-017,2024-07-16T00:00:00Z,web,Return request for recent order,I received the wrong item in my shipment. I ordered a blue model but got a red one. Can I exchange or return it?,returns,damaged,report_damaged_item,P3,negative,returns_support,closed,Full refund processed after confirming item condition.,REPLACEMENT_SENT,165,false,,4,185
TKT-0002,CUS-0855,,,2025-12-02T00:00:00Z,web,Security concern — urgent,I received a package I didn't order to my address. I'm worried someone is using my information.,security,data,fraud_report,P3,neutral,security_support,closed,"Unauthorized access confirmed. Account secured, password reset forced, customer notified.",FRAUD_RESOLVED,587,false,,4,203
TKT-0003,CUS-0782,,,2025-12-01T00:00:00Z,email,Warranty claim request,My product stopped working and it's still under the manufacturer's warranty. How do I file a claim?,warranty,extension,warranty_replacement,P3,negative,returns_support,closed,Warranty claim approved. Replacement unit shipped.,WARRANTY_EXTENDED,764,false,,3,21
TKT-0004,CUS-0390,,PROD-020,2025-03-26T00:00:00Z,web,Warranty claim request,The product was repaired under warranty but the same issue has returned. What are my options?,warranty,claim,extend_warranty,P2,neutral,returns_support,resolved,Device sent for repair under warranty. ETA 7-10 business days.,REPAIR_QUOTE,327,false,,5,148
TKT-0005,CUS-0866,,PROD-023,2024-12-05T00:00:00Z,web,Technical support needed,My device is overheating during normal use. The fan seems to be running constantly.,technical,connectivity,setup_issue,P2,angry,enterprise_support,closed,Escalated to engineering team for further investigation.,FIRMWARE_UPDATE,206,false,,4,100
TKT-0006,CUS-0549,ORD-04591,,2025-05-24T00:00:00Z,web,Product question / issue,I need a product that can handle office work. Which items in your catalog would you recommend?,products,registration,product_inquiry,P3,negative,technical_support,resolved,Product registration completed manually by support agent.,REGISTRATION_DONE,955,true,Security concern flagged,4,173
TKT-0007,CUS-0106,,PROD-007,2024-11-10T00:00:00Z,phone,Question about my order,One item from my multi-item order arrived but the other is still showing as processing.,orders,wrong_item,modify_order,P0,angry,general_support,waiting_for_customer,,,,true,Policy exception required,,183
TKT-0008,CUS-0601,,PROD-020,2025-10-04T00:00:00Z,web,Refund not received / billing issue,My order was cancelled but the payment hasn't been refunded to my account yet. It's been 21 days.,refunds,cancellation,request_refund,P2,negative,billing_support,resolved,Refund initiated; customer advised to allow up to 10 days for bank processing.,DUPLICATE_REVERSED,1060,false,,5,138
TKT-0009,CUS-0705,,,2025-07-05T00:00:00Z,chat,Question about my order,My order shows as processing but I haven't received any shipping confirmation email yet.,orders,modification,check_order_status,P3,negative,general_support,in_progress,,,,false,,,201
TKT-0010,CUS-0935,,PROD-066,2025-12-12T00:00:00Z,email,Account access issue,I want to close my account and delete all my personal data. What's the process?,account,password,account_security,P2,neutral,general_support,closed,Account unlocked. Security review completed.,2FA_ENABLED,1253,false,,4,31
TKT-0011,CUS-0645,,,2025-07-13T00:00:00Z,phone,Payment problem on my account,My credit card expired and I need to update my payment method for a pending order.,payments,update_method,billing_inquiry,P2,negative,billing_support,waiting_for_customer,,,,false,,,105
TKT-0012,CUS-0575,,PROD-057,2024-08-08T00:00:00Z,web,Technical support needed,I'm getting error code E-702 when trying to use the device. What does this mean?,technical,setup,hardware_malfunction,P2,negative,technical_support,resolved,Hardware defect confirmed. Replacement unit authorized.,ESCALATED_ENGINEERING,1105,false,,4,221
TKT-0013,CUS-0822,,PROD-027,2025-09-17T00:00:00Z,email,Payment problem on my account,I need an official invoice for my order for tax purposes. Can you send me one?,payments,authorization,update_payment_method,P2,positive,billing_support,waiting_for_customer,,,,false,,,34
TKT-0014,CUS-0567,,,2025-04-28T00:00:00Z,email,Security concern — urgent,I want to enable two-factor authentication on my account. How do I set it up?,security,phishing,account_compromise,P2,neutral,security_support,resolved,Fraudulent orders cancelled. Refund initiated. Account secured.,ACCOUNT_SECURED,1115,false,,3,223
TKT-0015,CUS-0548,,PROD-028,2024-11-15T00:00:00Z,chat,Product question / issue,I need to know if I can use this device in a country with different voltage standards.,products,compatibility,product_compatibility,P2,negative,technical_support,closed,Compatibility confirmed with customer's existing setup.,COMPATIBILITY_CONFIRMED,85,true,Policy exception required,3,142
